Sample #,Station #,Cast #,Niskin #,Month,Day,Year,Time UTC,Latitude,Longitude,Bottle trip Flag,Depth,Pressure,Temp_1,Temp_1_Flag,Temp_2,Temp_2_Flag,Sal_1,Sal_1_Flag,Sal_2,Sal_2_Flag,CTD_o2_sat,CTD_o2_sat_Flag,CTD_o2_conc,CTD_o2_conc_Flag,OXYGEN,OXYGEN_FLAG_W,DIC_AOML,DIC_AOML_FLAG,ALKALI,ALKALI_FLAG,PH_TOT,PH_TOT_TEMP,PH_TOT_FLAG_W,Silicate,Silicate_FLAG,NO2,NO2_FLAG,NO3,NO3_FLAG,NO2+NO3,NO2+NO3_FLAG,PO4,PO4_FLAG,DIC_UDEL,DIC_UDEL_FLAG_W,PN,PN_FLAG,POC,POC_FLAG,DOC,DOC_Flag,CDOM (@443nm),CDOM_FLAG,HPLC_chl_a,HPLC_chl_a_flag,NPP,NPP,NPP_flag,NPP_PC,NPP_PC,NPP_PC_flag,NPP_PN,NPP_PN,NPP_PN_flag
,,,,mm,dd,yyyy,hr:mn:ss,deg,deg,,m,db,C,,C,,psu,,psu,,%sat,,umol/kg,,UMOL/KG,,UMOL/KG,,UMOL/KG,,,°C,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,mg/m^3,,mg/m^3,,umol/L,,1/m,,mg/m^3,,umol C l-1 d-1,Stdev,,umol C/l,Stdev,,umol N/l,Stdev,
1,1,1,1,6,20,2015,1:53:15,41.3095,-70.51366,2,15.944,16.07,14.3194,2,14.3177,2,32.1186,2,32.119,2,101.441,2,259.911,2,162.9,4,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
2,1,1,2,6,20,2015,1:53:24,41.30949,-70.51365,2,15.843,15.968,14.3199,2,14.3181,2,32.1185,2,32.1188,2,101.324,2,259.609,2,-999,-999,1908.67,2,2155.65,2,7.801570385,25,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
3,1,1,3,6,20,2015,1:53:32,41.3095,-70.51364,2,15.85,15.974,14.3184,2,14.3175,2,32.1186,2,32.1189,2,101.293,2,259.537,2,-999,-999,-999,9,-999,9,-999,-999,9,1.6,2,0.0,2,0.22,2,0.25,2,0.34,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
4,1,1,4,6,20,2015,1:53:40,41.30952,-70.51356,2,15.839,15.963,14.318,2,14.3171,2,32.1187,2,32.1188,2,101.268,2,259.476,2,-999,-999,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
5,1,1,5,6,20,2015,1:55:14,41.30966,-70.51315,2,10.302,10.382,14.4491,2,14.4474,2,32.1068,2,32.107,2,102.575,2,262.156,2,248.3,4,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
6,1,1,6,6,20,2015,1:55:20,41.30967,-70.51312,2,10.359,10.44,14.4182,2,14.4162,2,32.1103,2,32.1107,2,102.128,2,261.171,2,-999,-999,1902.67,2,2161.39,2,7.808923447,25,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
7,1,1,7,6,20,2015,1:55:27,41.30966,-70.513,2,10.411,10.493,14.4068,2,14.4056,2,32.1116,2,32.1114,2,102.072,2,261.082,2,-999,-999,-999,9,-999,9,-999,-999,9,1.8,2,0.0,2,0.10,2,0.12,2,0.34,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
8,1,1,8,6,20,2015,1:55:34,41.30967,-70.513,2,10.287,10.367,14.3899,2,14.3885,2,32.1133,2,32.1134,2,102.113,2,261.272,2,-999,-999,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
9,1,1,9,6,20,2015,1:56:50,41.30982,-70.51256,2,4.681,4.717,15.3085,2,15.2845,2,32.0703,2,32.0695,2,106.943,2,268.766,2,259.5,4,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
